reviews,label
"Akun saya tiba2 keluar sendiri ,  dan susah tuk masuk lgi ,  saya coba pakai akun yg lain tapi tidak bisa juga ,   ,   ,   ,   saya coba kembali dngn akun shopee saya dengan mencoba memasukan pasword secara berulang2 hingga berhasil nmun stlh berhasil setelah bebarapa jam saya dapat pemberitahuan dari pihak shopee katanya akun saya dibatasi dan katanya saya menggunakan voucher kebijakan shopee dngn akun lain ,   ,   ,   ,   pdhl sya baru melankukan pembelanjaan pertama saya bbrpa hari lalu dan blm dikirim oleh pihak penjual.   .   .   .   .   .   ",__label__3
"Mohon di tindak lanjuti bot bot atau mafia shope yang sangat menganggu para pejuang flash sale 12.   12.   .   .    !  !  !  !  !  !  !  Belom masuk jam flash sale  ,  barang udah habis stok ,   truss muter muter  ,  layar hp memutih.   .   .    Baca y bacaa y.   .   .   .   .   .   ",__label__3
"Sedikit kecewa sih sama shoppe ,   soal nya Uda pakai shoppe bertahun tahun ,   tapi setelah ada kebijakan baru pengguna tidak bisa memilih jasa kirim nya sendiri ,   bukan cuma saya yg komplain tapi banyak.   prang juga komplain ,   karna sudah nyaman biasa memilih sendiri jasa kirim nya.    Semoga bisa dirubah lagi sperti dulu ya ,   besar kali harapan banyak pengguna shoppe.   ",__label__3
"Shopee semakin lambat ya.    Sinyal internetku bagus.    Jaringan penuh tapi tetap saja hanya shopee yg lelet krn aplikasi lain lancar.    Video streaming dll gak masalah.    Sudah bersihin ram ,   pembaruan aplikasi ,   hapus cookie dll bahkan restart hp tetap aja lelet.    Kenapa shopee begini ?  ? ",__label__3
"kak setelah d update kok g bs dibuka lagi aplikasi shopee nya  ?  selalu berhenti ,   tertutup lgi.   .    duh cmn ni kak.   .    belanjaan sayaasih banysk ini yg harus d cek.    mohon perbaiki sistem shopee nya.   .   .    supaya gampang diakses jgn berat x.   .   .    maaf bintangnya y kak.   .   .   ",__label__3
"Mohon perhatikan jasa pengiriman dikota lahat sumsel ,   dua kali pesanan saya yg dikirim dngn jasa kirim JNT semua hampir gagal kirim.    Padahal semua pesanan sampai kekota saya sblm eetimasi.    Kurir pemalas semua x ya Demi kebaikan semua mohon diperhatikan Sebenarnya saya mau kasu bintang 5 ,   tapi mengingat masalah ini sangat penting maka saya kasi 3 bintang",__label__3
"Shoope sekarang kok gini yaa .   .    Belanjanya sih enak  ,   cuman kok sekarang pelit banget  ,   dulu potongan harganya dari gratis ongkir yg dipilih  ,   gede / besar .   .    lah sekarang kecil .   .    Koinnya juga  ,   ,   .   .    pelit ah .   .    belanja diluar kota / diluar pulau jadi kurang enak 😔😔 males jadinya .   .   .    Entahlah .   .   .    Rasanya kecewa .   .   .    Dulu apa apa kalo mau belanja dishoope aja  ,   sekarang rasanya sedikit males .   .   .    😔😔",__label__3
"untuk update kategori produk ,   ,  harap di benerin lagi ,   ,  masih banyak kategori yg ga ada.   .    contoh y visor / windshield motor ,   ,  harus isi kategori apa ?  ?  klo kita isi kategori sendiri malah ga lama lapak di blok kata y kategori ga sesuai ,   ,  kan situ yg salah ,  kenapa pelapak yg tanggung akibat y ?  ? ",__label__3
"Makin sini makin bengkak aja nih size nya melebihi game online ,   teruskan sampe kaya genshin impact",__label__3
"ingin kredit kok susah amat ,   ,  katanya segalanya mudah ,   ,   ,  kok gk nyata ,   ,   ,   aq kasih bintang 3 aja ya ,   ,   ,  maaf saya ikuti progam Kredivo ,   ,  tp stlh pengajuan selesai  ,   ,  hasilnya Gagal  ,  begitu trrus ,  tolong dibantu agar bisa kredit di Shopee ,  terimaksih ,   ,   ,  ",__label__3
"saya melakukan pembayaran pakai virtual acount BRI.    2x 20.   000 saldo saya sudah terpotong ,   dr pihak shopee katanya belum ada dana masuk.    pakai virtual acount lagi 21.   410 ,   saldo terpotong ,   belum juga dianggap bayar.    ada apa dengan shopee ? ",__label__3
"Emm sebenernya aplikasinya bagus ,   cuma yang agak gak enak sih masalah gratis ongkir.    Kebanyakan ke shopee pay dan yang cod cuma dikit.    Terus kalo mau pake gratis ongkir juga dibatasin cuma 15rb ,   jadi gak sepenuhnya gratis dong.    Pake gratis ongkir extra juga ttp aja dibatasin.    Tolong nih diperbaiki lagi masalah gratis ongkirnya !  Terima kasih !  ! ",__label__3
"Saya sudah beberapa kali belanja disini dg metode cod tp kurirnya tak mw antar samapai alamat ,   masa saya sendiri yg datangin kurir SMA kantor j & t nya.   .   .   sedikit kecewa sih ,  utk apa gunanya cod kalo kurirnya malas antar smpai alamat .   tolong diperhatikan.   .   .   ",__label__3
"Shopee sekarang parah ,   ngadain acara besar di tv tapi aplikasinya loadingnya minta ampun ,   kaya nunggu pesawat delay.   .   .    ,   saya hampir tiap hari belanja di shopee tapi sekarang ga bisa belanja ,   batang di masukin keranjang ga bisa ke buka ,   tolong di perbaiki ya.   .   .    ,   sekarang aplikasinya sya hapus giliran dowload ga mau ter instal ,   parah.   .   .   .    ,   tolong di perbaiki bisa2 pelanggan lari ke toko sebelah yg ga error.   .   .   ",__label__3
Akun shoopepay saya knp di blokir ya kak ?  Iya tau salah 5X tapi saya rugi udh beli saldo shoopepay 25K dri bank.   .    😭,__label__3
"Maaf untuk pihak shopee saya ada keluhan di pengaturan ongkos kirim kenapa tidak muncul.   .   saya sudah ,  coba update dan coba berulangkali tetap tidak muncul.   .   gimana saya mau nambah produk yg saya jual kalau seperti ini.   mohon direspon dan ditindak lanjuti.    Sementara 3 dulu.   .   kalau sudah ditindak lanjuti dan bisa digunakan langsung 5.    Kasih tanggapan serius.   ditunggu.    trimakasih.   ",__label__3
Maaf ini kenapa di upgrade gk bisa ayo lahh.   .   .   .    udah dri bulan kemaren pasti ada masalah Sebenernya hp gw apa gmna sih tolong lah,__label__3
"Mudah penggunaan app - nya ,   banyak produk - produk kebutuhan dengan harga terjangkau.    Belum ada kolom penilaian untuk jasa pengiriman yang dipilih ,   ada banyak kasus dimana barang dalam keadaan baik saat dikemas tetapi mengalami kerusakan saat proses pengantaran.    Banyak seller yang kurang responsif dan tidak cepat mengupdate jumlah stock dan varian barang yang tersedia sehingga pembeli kerap kecewa ,  terlebih jika tak dihubungi dahulu untuk perubahan produk atau varian malah langsung kirim yang berbeda",__label__3
"Hi admin ,   uang di akun shopee pay saya hilang .   .   sbelumnya saldo di shopee pay saya Rp.    144.   000 ,   sekarang Rp.    0 .   .   .   .   .   .   .    Sebelumny saya update aplikasi shopee ,   stelah itu uang di shopee pay saya hilang.   .    Gimana ini min ,   mohon bantuannya .   .   ",__label__3
"saya beli baju di shopee trs os nya salah kirim barang dan saya retur ,   saya kirim lagi ke alamat os nya tapi udah 2 minggu lebih baju saya di tangan os dan gadikirim balik ke saya ,   setiap saya chat cuma dibalas  "" iya sis ""  harus gmn ya min ? ",__label__3
saya sudah lumayan lama pakai aplikasi ini.   .    awalnya nyaman sekali karna setiap belanja melebihi minimal pembelian pasti gratis ongkir otomatis.   .   .    tapi sekarang makin ribet harus tuker voucher dulu udah gitu dalam sebulan cuma dapat 5 voucher gratis ongkir.   .    sama aja belanja saya dibatasi.   .   .    mending gak usah ditulis gratis ongkir kalo pas check out ternyata bayar juga ongkirnya.   .   ,__label__3
"Aku suka banget belanja di shopee ,   krna apk ini aku juga punya olshop.    Tp ada bbrapa keluhan sih ,   yg paling utama mengenai ongkirnya yg sangat mahal :  (  ada yg sampe 90.   000 an gitu ke kaltim berau.    Jadi rada mikir mw langganan disitu krna lebih mahal ongkirnya ketimbang harga barangnya.    Terus kalo bisa kasih gmbar yg real deh biar gak zonk gitu pas udah datang yaa krna gk sesuai ekspetasi akhirnya bikin kecewa.    Ya pokonya ongkirnya kalo bisa jangan mahal gitu dehh 😉😉😉😉",__label__3
ini kenapa Shopee nya ga bisa di buka ?  lagi down juga ?  ikut ikut 3 medsos ?  tolong dong kasi info yg jelas,__label__3
"Ini shopee hrus bikin apa ya.   .   .    biar penjual tuh g seenaknya.    Udh nunggu 4 hri ,   msih dikemas.    Dichat g di bls ,   pdhl udh dibilangin ,   ini celana mau dipake cepet ,   buat ke pondok ,   eh ttp g di bls.    Pas hri trkhir ,   tokonya libur dan pesanan otomatis dibatalkan oleh shopee.    Mngkn krna udh melewati batas pengiriman kli yaa.   .   .    so ,   ini gmn nih.    Pake apa nnti ke pondok ,   gw bli di online itu krna di skitar gw g ad yg jual ,   dan pondok bilang hrus kulot.    Mana hrus otw minggu ,   skrg dh sabtu.   ",__label__3
Sudah 2 x pencarian dana selalu terlambat.    Waktu sudah lebih 1 x 24 jam.    Tolong pihak shopee bisa memperbaiki sistem nya.   ,__label__3
"Aku suka belanja dishopee ,   apa2 juga nyarinya dishopee ,   sayangnya sekarang shopee udah gak kaya dulu ,   sekarang lemot banget padahal koneksi internet normal ,  buat chekout barang jg lama ,   buat buka kode pembayaran jg lama sampai sering dibatalka karena susah mau buka kodenya.    Mohon diperbaiki yah",__label__3
Tidak ada gratis ongkir.   .   mending pindah ke aplikasi sebelah,__label__3
"Kenapa tiba2 akount Shopee ku keluar ,   alias harus Login lagi ?  Padahal saya lagi belanja barang dan belum sampai ke tujuan saya ,   apakah akount saya di Hack dari pihak toko yg saya beli karena menipu saya ?  Tolong bisa bantu saya ? ",__label__3
"Shopee memang terbaik tp nggak suka nya sama seller yg tdk respon jika ada komplain dengan barang diterima misal barang blm dipakai tp brg nya bocor ,   ,   ,   ,   ,  udah ngeluarin uang tp nerimanya brg rusakan.   .   .   .   .   semoga shopee bisa memberi solusi terbaik nya",__label__3
Sekarang shopee setelah diupdate jadi lelet banget.    Mau nambah variasi produk aja gagal terus.    Banyak bug nya.    Apa karena pake hape rilisan thn 2018 ?  App shopee sekarang harus pake hape dg model baru apa gimana ?  Mohon diperbaiki lagi.    Terima kasih.   ,__label__3
Maaf buat shopelater.   .    Saya memang pinjam dan keterlambatan.   .    Saya gk lari dari hutang saya.   .    Tapi tolong kalau wa debt collector kalau wa jangan suka mengancam.   .    Ap ini menagih kayak gitu.   .    Bunga agk mahal dari pada yg lain.   .    Terima kasih,__label__3
mf shopee bintang 3 dlu.    ya soalnya spay later saldonya msh kosong jh pdhl udh d tingkatkan smksimal mgkin dri segi blnja dll.   .    nnti klo spay laelter saldonya ada lagi baru ksh bintang 5 .   .    soalnya kgn pgn pkai spay later lg,__label__3
awalnya suka banget sama aplkasi shoppe karna mudah dan bisa langsung chat sm penjual nya .    tp kemarin saya order pesanan malah ada kendala masalah pembayaran .    memang sekarang sudah selesai dan uang sudah kembali tp saya sedikit was2 jikalau kejadian lagi seperti kmarin .    tolong lebih di perbaiki lagi,__label__3
"Tolong lah gratis ongkir pengiriman luar jawa nya di perbanyak.   .   .    Karna tidak semua penguna pakai sopee pay ,   contohnya saya setiap verifikasi sopee pay gagal trus ,   karna kecamatan saya belum masuk di shoppe.    Please perbanyak gratis ongkir untuk pengiriman diluar jawa.   .    Gratis ongkir itu sangat membantu.    Apalagi saya selalu belanja di shope",__label__3
"Saya selalu mengandalkan shopee untuk belanja online ,   apalagi kita bisa menjadi pelapak disana tapi ketika Saya berhasil verifikasi semua data dan mendapat limit kredit 750 ribu rupiah di shopee pay later ,   tapi saat akan digunakan opsi pembayarannya tidak muncul di menu pembayaran.    Saat coba minta solusi di chat ,   menu complaint ,   email ga dapet tanggapan ,   CS pihak ketiga ga pernah angkat telepon dan CS Shopee sedang dalam perbaikan jaringan.   ",__label__3
"Dulu jadi favorite pokoknya belanja apapun carinya di shopee  ,   tapi skrng belanja di shopee jadi susah loading terus.    Padahal quota banyak  &  jaringan internet bagus.    Jujur sangat kecewa dengan shopee versi sekarang.    Mohon di perbaiki setidaknya seperti versi yg lama biar tidak banyak pengguna shopee yang kecewa.   Mksh",__label__3
"Knpa saya ganti hp trus download shopee lagi jafi error ,  saya tidak bisa atur pengiriman untuk mengambil kode boking ,  dan muncul layar putih terus ,   ,  saya coba log out dan hapus instal sampai berkala tetap tidak bisa  ,  muncul layar putih terus😭😭😭😭",__label__3
min kenapa barang yang saya beli belum saya terima tapi udah ada pemberitahuan kalau barang tersebut sudah saya terima dan harus d konfirm.   .   kenapa bisa begitu sedang kan barang yang saya pesen belom saya terima.   .   tolong penjelasannya !  ! ,__label__3
"saya baru download shopee terus saya beli watchphone harganya 148.   000 ,   saya klik beli terus kok harganya mahal banget menjadi 181.   500.   .    terpaksa saya beli itu karena saya pingin barang itu ,   ,   ,   ,   pliiss jangan ada COD dan ongkir nya jangan ke mahalan.   .   ",__label__3
"Memng saya pelanggan yg tetap blnja di shoppe ini sya suka pencarian produk lebih mudah ,   dan reting di setiap toko lebih jelas jdi gak gampang kecewa blnja di sini ,   tapi saya trauma krna saya di tipu sebesar 1 juta rupiah akun saya di heck org dan pesan brang Tampa sepengetahuan saya ,   saya di iming "" kn dapat cashback 2 juta ,   memng salah saya ceroboh dan bodoh ,   tapi gak tau kenapa setiap liat aplikasi shoppe saya jdi tkut dan trauma pling 10% kemungkinan sya mau blnja lgi disni 90% tdak lgi😭",__label__3
Knp aku kasih bintang 3 karna waktu itu aku pesen gk ad notif barang di kemas atau di jalan 🗿🛐,__label__3
"Jaringan lalod.   .   .   mau pesan selalu kendala menghubungkan.   .   .   terlalu banyak permainan ,  goyang ,  akhirnya banyak pengguna yg ikut dan kami yg hanya menggunakan aplikasi Shopee tuk belanja terkendala yg main juga belum tentu belanja.   .   .   kan Tolong dipertimbangkan lagi segala macam kuisnya saya punya beberapa akun di Shopee tuk belanja tapi kadang ikut kuis.   .   .   ",__label__3
"Selama ini gak bermasalah sama shopee tapi sudah 2 minggu gak bisa di pakai aplikasinya ,   udah nelpon cs katanya di suruh log out dulu ,   giliran di log out sekarang malah gak bisa di log in.    Selalu jawaban nya jaringan bermasalah .    Padahal signal 4g dan kuota banyak ,   log in lewat sms jg gak bisa.   ",__label__3
"aplikasi shoee sebenarny emng aplikasi belanja online favoritku ,  tp habis di update lo mlh jd eror yh ,  barang yg udh nympe wktu mo konfirmasi barang di terima mlh gk ada ,  khan kasihan si penjual ,   ,   ,  ternyata waktu saya cek punya kaka jg seperti itu ,   ,   ,  tgl 23mei di update ,  skr minta di update lg ,   ,  huh",__label__3
"saya suka skali pake shoope sering belanja tapi selama beberapa bln shoope eror gratis ongkir saya ga bs digunakan berapa banyak pun saya belanja tetap ga bs digunakan mau nambah alamat pengiriman juga ga bisa ,   gimana dong solusinya ?  ?  ?  saya jd kurang semangat nih pake shoope",__label__3
"Semenjak gak bisa milih kurir makin gak asyik ,   padahal pemilihan kurir itu pembeli yang lebih tau sikon di daerah tempat asalnya.    Kadang kurir gk mau antar ke tujuan kalau di daerah2 jika jauh.    Makanya pemilihan kurir sangat perlu oleh pembeli",__label__3
"Kupikir cuma aku yang shopee nya lemot sampe nggak bisa masukin produk ke keranjang dan log in ,   ternyata rata2 semua pengguna memang mengeluhkan hal yang sama ,   sampe dua kali live chat sama admin buat segera di perbaiki dan uda 5 harian belum juga bener ,   seharusnya kalo aplikasi uda sebesar ini sistemnya juga makin baik bukannya makin buruk",__label__3
"Semenjak update terbaru ga bisa lihat / pilih ekspedisi pas mau checkout ,   ekspedisi random setelah kita checkout  ( memang ada yang bisa di ubah tapi ada yang yang ga bisa di ubah ) .    Gabisa pilih ekspedisi tercepat diwilayah saya",__label__3
Min ada Asus rog phone 5 1 jutaan saya mau beli takut nya ketipu katanya diskon 85% begitu bisa percaya gk sih ?  ?  ! ,__label__3
"Aku ubah jadi bintang 4 karena sekarang aplikasinya lemot banget ,   dan soal voucher gratis ongkir ga jelas kebenarannya contoh di voucher minimal gratis ongkir 30rb tapi belanja melebihi itu gratis ongkir nya ga bisa dipake.    Tolong di perbaiki lagi.   .   .   ",__label__3
"Saya suka sama shopee tapi tolong cari oknum yg mengatasnamakan sophie jangan sampe di diemin banyak korban yg kena tipu termasuk saya sendiri tolong segera cari orang yg nipu ,  takut banyak korban lagi ,  kasian orang ,   sayang juga sama aplikasi nya jadi kecoret buruk",__label__3
Saya kasih bintang 3 dulu.    Aplikasinya udah bagus.   .    Cmn untuk mengecek perjalanan barangnya g ad di dashboard depan.    Jd agak sulit melihat ngecek brng dah brngkat atau blm.   .    Tp semua dah ok banget kok.   .   .   ntar pasti aq kasih bintang 5.   .   ,__label__3
"Gini ya buat shopee aku suka Karena banyak diskon ,   tapi ni apl nya kok bikin emosi terus ya ?  Kalo sudah Di perbarui kok suruh memperbarui lagi ?  Terus ni Ya yang paling aku benci Aku Baru pesan barang d shopee eh Malah di suruh memperbarui Kan aku gak tahu paketku Ada apa Ndak ?  Terus kalo di batalkan gimana ?  Njirr tolong dong jangan gitu Takutnya kalo toko yg Aku beliin membatalkan gimana ? ",__label__3
"Saya punya voucher min belanja 30.   000 ,   saya belanja harga barang 95.   000 ,   mau pakai vouchernya kok gak bisa ,   ada tulisan ,   tidak mencapai min belanja ,   padahal udah mencapai 95.   000 ,   gak bisa di gunakan jadi harus bayar 132.   000 ,   tolong bantu min",__label__3
"Katanya hari ini 12.   12 gratis ongkir ,   udah bayar pake shoppepay tetap aja kena ongkir.    Hadew.   .   .   padahal udah nyetok barang di keranjang dari jauh2 hari sampai tunggu 12.   12 ternyata omong kosong.    Terlanjur bayar juga tadi masih sama aja seperti hari biasa cuma kena potongan ongkir 20ribu.   .   kirain benar2 GRATIS ONGKIR 12.   12 ,   payah",__label__3
Dapat voucher gratis ongkir bnyak.    Gk bisa di gunain.    bikin gk nyaman aja.    Percuma ada voucher gratis ongkir klo ongkir ttep mahal,__label__3
Knp shopee sekarang tidak ada opsi pengiriman yg bisa dipilih sendiri.   .    Saya biasa pesen di Shopee dg ekspedisi yg udah tau kirim ke alamat saya dan gak perlu kebingungan lagi nyari alamatnya.   .    Pernah waktu pesen barang di Shopee dg jasa pengiriman Shopee exspress kurir nya bingung sama alamatnya akhirnya barang saya dikembalikan ke seller dan harus nunggu buat di kirim ulang.   .    Mohon dipertimbangkan dg baik kebijakan yg udah ditetapkan pihak Shopee supaya sama sama nyaman.   .    Terima kasih,__label__3
"Kenapa sii setiap bulan nya harus di update terus ,   ram di hpe kentang saya tidak mencukupi 😭😭😭",__label__3
"Tolong di perhatikan tim IT shopee .   .   .    saya seller  ,   kenyataanya memang semakin hari aplikasi ini semakin lemot .   .   .    saya udh atur iklan dgn nominal tertinggi aja iklan saya ga keliatan.   .    saya search  "" tunik ""  aja yg keluar  "" kata pencarian anda tidak ada ""  .   .   .    masa iya gw cari tunik barang nya ga ada .   .   .    aneh sekali .   .   .   ",__label__3
"Shopee tambah gajelas ajh ,   pemesanan saya d batalkan oleh s penjual karena alamat tidak terjangkau ,   terus katanya  "" dana sudah d kembalikan silahkan cek di shopeepay ""  giliran udah d cek di shopeepay ko masih nol sih ?  !  tolong bantuannya min !  ? ",__label__3
Minta doanya kawan kawan smoga Saya cepat mendapat perkerjjaan 🙏 disehatkan badanya.    Dilancarkan rezekinya,__label__3
parah sekarang shope kata penjual paket sudah terkirim statusnya masih di kemas.   .   .   minta pembatalan kata penjual barang sudah kirim.   .   lama sekali biasanya pengirimAn paket di hari yang sama jika transfer sebelum jam 2 siang .   .   saya kan transfer jam 10 masa sampai sekarang belum juga di kirimm,__label__3
"Gimana iya kemarin aku lapor karna kena tipu ,   terus pihak / tim shoppe menyarankan untuk di non aktifkan dulu terus kata nya klau sudah dapat email masuk dari pihak shoppe sudah di aktifkan kembli ,   lah kemrin dah ada email masuk tapi kok sampai sekrang masih gak bisa login ke aplikasi shoppe yah dah 3 hari lebih ,   gimna iyah ? ",__label__3
Tolong dong kok pengajuan shope paylater saya di tolak padahal saya sudah mengisi data saya dengan bnr,__label__3
Shopee belanjanya enak dan nyaman tidak rusak dan bagus dan i,__label__3
"Kenapa sih shopee sekarang nyebelin ,   udah loadingnya lama ,   akun suka keluar sendiri ,   aku kan akunnya daftar pake no hp ,   dan skarang no hp itu udh ga aktif terpaksa bikin akun baru lagi deh ,   terus mau verifikasi no hp susah bgt sekarang ,   jadi agak kecewa ,   ga jadi belanja deh",__label__3
"masih kurang suka saya dengan aplikasi ini ,   ,   semoga kedepannya lebih dikembangkan lagi ,   ,   saya mau bayar ditempat kok gak tersedia ,   ,   dan masak ongkirnya lebih besar dari pada barang yang mau dibeli ,   ,   saya sangat menghimbau agar bayar di tempat lebih di utamakan lagi  ,   ,   ,   ,   thanks ,   ,  ",__label__3
"Sekarang kalau mau ambil voucher cashback sering banyak eror nya.    Masak iya ,   tiap kali mau ambil voucher saya disuruh verifikasi shopeepay terus.    Padahal udah lama ter verifikasi.    Setelah voucher habis baru normal lagi.    Pfft.    Padahal dulu g kayak gini.   ",__label__3
"Permisi ,   saya ingin bertanya ,   saya memesan barang 3 tapi yang dikirim hanya 2 ,   dan lagi saya sudah terlanjur konfirmasi terima ,   dan saya ingin uang saya untuk barang yang tidak dikirim dikembalikan bagai mana ya ?  Saya sudah menghubungi penjual ,   tapi responnya kurang bagus ,   tolong bantuan penjelasannya 🙏🙏",__label__3
Kekurangan yang menonjol adalah aplikasi ini cukup berat sehingga sering terjadi lag.   ,__label__3
kenapa produk saya sering di blokir min ?  ?  ?  ?  padahal merk udah saya sesuaikan ?  ?  ?  ?  kalau emg ada yg harus di perbaiki tolong kasih tau bagian mana.   .   .    jngn main2 blokir aj.   .   .    capek min harus bikin lagi mulu.   ,__label__3
"Saya berkali kali kecewa dengan kurir shopee sendiri.   .   .   .    Klu gak mampu menjadi kurir yg terbaik gk usah pake kurir sendiri dech.   .   .    Di buat ongkir gratis ternyata kurir sendiri.   .    Biasa 3 hari saya Terima barang ,   tp kurir shopee 1 minggu br saya Terima.   .   .    Bahkan mereka tidak melihat klu itu makanan.   .   .    Jgn nanti banyak pelanngan kecewa",__label__3
Bertahun tahun setia sama shopee sayang semakin upgrade semakin lemot.    Semoga bisa ditangani diatasi lemotnya kalo gk mau kehilangan pelanggan shopee.    Harus benar benar ditangani gk bisa ditunda lagi.    Karna lemotnya bikin jengkel.    Bikin males belanja.    Padahal aku banyak orderan😣😭😭😭😭,__label__3
"Shope terkenal dengan pengiriman geratis ,  tp setelah pengalaman saya berbelanja di shope saya hanya mendapatkan bacaan vocer geratis ,  bukan pengiriman gratis ,  setiap pembelian menggunakan vocer gratis ini hada diberlakukan adanya potongan ongkos kirim jadi menurut saya shope gratis ongkir itu tidak berfungsi ,  yg berfungsi hanyalah potongan ongkos kirim saja ,  jd lebih baik di ubah saja swmboyan untuk geratis ongkirnya ,  karena setiap membeli barang di shope tetap selalu membayar ongkir ,   dr 5000  -  up Semoga semboyan gratis ongkir ini memang bisa terlaksanakan bukan vocer gratis ongkir yg pada dasarnya hanya berisi potongan ongkir 20.   000 Terimakasih Saya hanya menyampaikan pendapat dan tidak ada maksud apapun.   ",__label__3
"Maaf.   .    Kenapa sekarang shopee gratis ongkirnya cuman dikit banget ga kaya dulu klo pake voucher gratis ongkir ya gratis sekarang ko masih bayar cman di kuringin 10rb doang.   .    Padahal udah enak banget belanja di shopee sekarang malah tibet kaya gini ,   jdi males.    Balikin lagi dong sistem nya kaya dulu.    Sekarang harga barang emang lebih murah tapi ongkirnya makin mahal",__label__3
"Saya kasi bintang 3 dulu saya soalnya pengguna baru dan baru ingin berbelanja di shopee  ,  kalau ketika saya berbelanja tidak ada kendala saya akan tambhin bintang nya smoga barang yg saya beli tidak ada msalah apapun aminn ,   ,   ,   ,   sukses trus buat shopee",__label__3
"saya sukabelanja disopie  ,  cuma kadang waktu kt pilih barang tertulis potongan ongkir ,   tp pas kt transaksi ongkirnya full ga ada potongan.    tolong jgn php donk .    kalo ga ada potongan ongkir ya jgn ditulis.    krna sy belanja melebihi batasannya.    jd kecewa deh.   ",__label__3
"Yang aneh dari app ini adalah lemot banget gatau kenapa ,   hpku spek nya snapdragon 821 ,   ram 4gb internet lancar walopun jadul ,   hpku gak ada masalah di app lain aplikasi shopee selalu update versi dan masih lemot juga Padahal nyaman belanja di shopee Tolong di tingkatkan lagi ya ,   makasih",__label__3
"Tolong diperbaiki lagi ,   jangan terlalu beratlah ,   tiap buka shopee ngelag ,   padahal awalnya bagus ,   setelah di update makin lama makin lag akhirnya buka aplikasi manapun ngelag ,   setelah saya uninstal baru hape saya bisa stabil ,   hanya saran",__label__3
Hai shopee.   .   .   tanya donk.   .   .   kenapa sekarang pas masuk game Tanam loading cuma smpe 99% di tunggu setengah jam ttp gak bisa masuk padahal sinyal bagus.   .   .   aplikasi versi terbaru.   .   .   tiap ada update langsung di update tp malah begini ini gmn ceritanya ?  ?  ? ,__label__3
kok pesanan saya sudah 10 hari belum di kirim juga ya sampe sekarang ?  pesanan saya masih di kirim dari pusat sortir luar negri terus dari tanggal 11  - 11 - 2019  ?  saya pesan dari tanggal 09 - 11 - 2019 sampai sekarang belum saya terima barang nya.   ,__label__3
Pengembalian shopeepay.   nya sangat lambat bahkan sampai 3 hari.   .   .    sering update jd sering lemot.   .   .    Yg lebih kecewanya gak dapet2 hadiah.   .   .   sampai puluhan atau mungkin ratusan .    bahkan jm 00.   00 lebih dikit buat pesanan shopee serba10 eh mungkin blm nasib baik kali ya.   .   .   ,__label__3
"Menjadi saran aja ,   untuk pengaturan rekening di seller dashboard itu langsung bisa diambil dari pengaturan penarikan saldo shopee pay saja ,   atau ada opsi tambah rekening ,   atau justru auto check rekening ,   seller masukan nomer rekening dan milih dari bank mana dan shopee langsung auto check rekening itu atas nama siapa.    bukan kosongan nambah rekening baru lagi ,   merepotkan.    apalagi kalau ada penarikan saldo gagal.    jadi repot saja.   ",__label__3
Segini dulu.    Ngajukan SPayLater 2 kali tolak terus padahal misi misinya udah dijalankan.   ,__label__3
Bagus si.   langganan dulu.   .   .   harga paling murah dari aplikasi lain tapi voucher gak bisa dipakai.   .    perbanyak voucher yg bukan shopee pay kak.   .   mau beli aja keberatan sama ongkirnya.   .   padahal top sebenarnya.   .   .   .   beda sama dulu.   .   .   dah main game biar dapet ongkir dah dapet gak bisa dipakai.   haduh,__label__3
"X ini lg kcewa bgt sm shope  ,   ,  kmrn tgl 10 / 4 pesen produk tgl 11 / 4 byr  ,   ,  tp smpe skg produk gk sampe tp mlh ada pembtaln dr Pihak shope tertanggal 16  / 4  ,   ,  bukti transfer jg sdh ada sdh sy kirim  ,  tp dr pihak pnjual bilang uang blm msuk k rekeningnya  ,   ,  jd produk gk kirim  ,   ,  yg sy pngin tahu uang masuk k rekening siapa  ?  ?  ?  pdhl uang yg sy transfer 1 jt lbh loo.   .    klo gk ada produk hrsnya uang kmbali  ,   ,   tanggung jwb sp ini  ?  ? ",__label__3
"Min tolong fitur bayar lebih awal  ( shpeepaylater )  nya dimunculin lg ,   ,  soalnya klo pengen pake buat beli yg nominalnya lebih gede ,  kan harus dilunasi dlu ,   ,  klo nunggu tgl cetak kelamaan ,   ,  mohon bisa jd pertimbangan ,   ,  nanti bintang nya kembali 5 🙏",__label__3
"Kenapa saya kasih bintang tiga ?  Karna saya pas mau beli pop cotscet 3D barang nya kagak dianterin dari bandung sampai sekarang saya mesen dari tahun 2019 ,   saya nanya satu lagi kalo barangnya dari luar negeri uang nya ,  uang Indonesia.   ",__label__3
"Awalnya bagus suka dan ga kecewa ,   tapi kok lama2 semua voucher di saat big sale shopeepay / later semua.    Klo seperti itu merugikan pihak yang tidaj ada saldo shopee pay  &  pihak yang tidak memiliki rekening.    KECUALI BISA TOP UP MELALUI MINIMARKET.   ",__label__3
"Sumpa dah ,   shopee sekarang lemot bgt.    Padahal sinyal data baik.    Giliran mencet produk / profil toko ,  liat komen selalu macet.    Shopee punya temen²ku juga gitu.    Tolong ditingkatkan.    Macet + lemotnya bikin greget mau beli produk jadi emosi",__label__3
kenapa ya suka banget down gitu lemot banhet pas mau check out.   .    kesel juga saya lama lama kalo lagi buru buru trus tbtb down shopeenya !  ! ,__label__3
